"nom.depth","target.depth","Cruise","Cast","decy","yyyymmdd","year","month","cruise","hhmm","latN","lonW","Pressure","Depth","Temp","Salt","O2","Beam","PAR","Fluor","Fluor_filt","Fluor_offset","sig_theta","AOU","bvfrq","bvfilt","vort","Sunrise","Sunset","Season","VertZone","MLD_dens125","MLD_bvfrq","MLD_densT2","MLD_densT3","MLD_densT1","MLD_dens2","MLD_densGR","MLD_te2","DCM","DCMde_top","DCMde_bot","DCMinML","par_est","par0","kpar","z_par_1pcnt","z_par_halfpcnt","z_par_tenthpcnt","bottle","cast","case","meanMLD"
"60","60","2","2.5","1988.89902806239","19881124.5","1988","11","10002","1293.75","31.83925","64.205","58.5","58.0849970501138","23.6364","36.505","218.596","0.4423","NaN","NaN","NaN","0","24.8036124121153","-13.0383703076541","0.000330420878756098","0.000345784658318102","2.59410854546097e-09","1056.69499999998","2108.31999999999","4","0","62.2214730682249","61.5596399248831","61.5596399248831","62.2214730682249","60.2359731103764","62.2214730682249","10.5920238200199","62.2214730682249","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","c(2, 4, 3, 1)","no TOC/TN","NA"
"80","80","2","2.5","1988.89902806239","19881124.5","1988","11","10002","1293.75","31.83925","64.205","78.5","77.9393423487943","21.98855","36.7116","230.2635","0.4355","NaN","NaN","NaN","0","25.584750142544","-21.3810649811358","0.000163268578629822","0.000130631736759865","1.28266934036058e-09","1056.69499999998","2108.31999999999","4","NaN","62.2214730682249","61.5596399248831","61.5596399248831","62.2214730682249","60.2359731103764","62.2214730682249","10.5920238200199","62.2214730682249","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","c(1, 2, 4, 3)","no TOC/TN","NA"
"100","100","2","2.5","1988.89902806239","19881124.5","1988","11","10002","1293.75","31.83925","64.205","98.5","97.7917633018859","20.75715","36.67","220.545","0.42535","NaN","NaN","NaN","0","25.8574964230714","-8.01294725005502","0.000111184472585794","0.000113028907992047","8.73384412222861e-10","1056.69499999998","2108.31999999999","4","NaN","62.2214730682249","61.5596399248831","61.5596399248831","62.2214730682249","60.2359731103764","62.2214730682249","10.5920238200199","62.2214730682249","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","c(3, 4, 1, 2)","no TOC/TN","NA"
"120","120","2","2.5","1988.89902806239","19881124.5","1988","11","10002","1293.75","31.83925","64.205","120.5","119.627146257711","19.953","36.6127666666667","211.2865","0.418875","NaN","NaN","NaN","0","26.0174289260866","5.81437912890081","5.68442610959774e-05","5.83941703773407e-05","4.46499385791182e-10","1056.69499999998","2108.31999999999","4","NaN","62.2214730682249","61.5596399248831","61.5596399248831","62.2214730682249","60.2359731103764","62.2214730682249","10.5920238200199","62.2214730682249","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","c(3, 4, 1, 2)","no TOC/TN","NA"
"140","140","2","2.5","1988.89889016285","19881124.452381","1988","11","10002","1286.30952380952","31.8399285714286","64.2064285714286","141","139.971698319656","19.3995238095238","36.5821875","206.740238095238","0.411333333333333","NaN","NaN","NaN","0","26.1367384357903","15.5431838599959","5.34158054510854e-05","5.46839608668845e-05","4.19541494470479e-10","1056.65904761903","2108.3376190476","4","NaN","62.3041981719811","61.6216827429098","61.6216827429098","62.3041981719811","60.3186991411973","62.3041981719811","10.1782811445968","62.3041981719811","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","c(3, 2, 1, 4)","no TOC/TN","NA"
"160","160","2","2.5","1988.89902806239","19881124.5","1988","11","10002","1293.75","31.83925","64.205","161.5","160.314264619153","18.99535","36.5590666666667","203.4615","0.405525","NaN","NaN","NaN","0","26.2333468831352","22.1908448324016","3.49889599709298e-05","3.49036610624867e-05","2.74841432500234e-10","1056.69499999998","2108.31999999999","4","NaN","62.2214730682249","61.5596399248831","61.5596399248831","62.2214730682249","60.2359731103764","62.2214730682249","10.5920238200199","62.2214730682249","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","c(3, 1, 4, 2)","no TOC/TN","NA"
"200","200","2","2.5","1988.89902806239","19881124.5","1988","11","10002","1293.75","31.83925","64.205","201.5","200.001241612219","18.613","36.5481","211.0285","0.401725","NaN","NaN","NaN","0","26.3169431784773","16.5473577143486","1.18875137948307e-05","1.20579523857758e-05","9.33721937509111e-11","1056.69499999998","2108.31999999999","4","4","62.2214730682249","61.5596399248831","61.5596399248831","62.2214730682249","60.2359731103764","62.2214730682249","10.5920238200199","62.2214730682249","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","c(1, 3, 4, 2)","no TOC/TN","NA"
"250","250","2","2.42857142857143","1988.8993950039","19881124.5714286","1988","11","10002","1445.71428571429","31.8331428571429","64.1968571428571","250.714285714286","248.820008756989","18.4058","36.54416","212.654857142857","0.400971428571429","NaN","NaN","NaN","0","26.369174151411","15.6174723474424","1.03335333125716e-05","9.49635929817932e-06","8.11587747689283e-11","1056.71599999998","2108.28742857141","4","4","61.7582351360215","60.9640353640113","60.9640353640113","61.7582351360215","59.7727293505237","61.7582351360215","11.7173968941343","61.7582351360215","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","c(2, 3, 1, 4)","no TOC/TN","NA"
"300","300","NaN","NaN","NaN","NaN","NaN","NA",NA,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NA","no TOC/TN","NA"
"400","400","NaN","NaN","NaN","NaN","NaN","NA",NA,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NA","no TOC/TN","NA"
